Column,Count,Type
CTRY,149014,int64
NAT_WGT,149014,float64
POP_WGT,149014,float64
FLD_DATE,149014,object
YEAR,149014,int64
SC_KNOWL,149014,int64
UND_SCSCI,149014,int64
SC_DZ,149014,int64
SC_POET,149014,int64
SC_PS,149014,int64
SC_SS,141969,float64
SC_UNI,127508,float64
SCINFO_30D,149014,int64
MDHINFO_30D,149014,int64
SC_INT,149014,int64
MDH_INT,149014,int64
CONF_NGO,149014,int64
CONF_HOSP,149014,int64
TRU_NEIGHB,149014,int64
TRU_NATGOV,136330,float64
TRU_SCI,149014,int64
TRU_JO,149014,int64
TRU_HCW,149014,int64
TRU_NGOPPL,149014,int64
TRU_TH,149014,int64
TRU_SC,149014,int64
TRUSCI_ACCINFO,149014,int64
TRUSCIUNI_BEN,149014,int64
TRUSCIUNI_HON,149014,int64
TRUSCICOM_BEN,149014,int64
TRUSCICOM_HON,149014,int64
SCI_BENPPL,149014,int64
SCI_BENRESP,149014,int64
SCTECH_IMPRLIFE,149014,int64
SCTECH_JOBS,149014,int64
TRU_PPLADV,149014,int64
TRU_GOVADV,147998,float64
TRU_HCWADV,149014,int64
HRD_VAC,149014,int64
VAC_IMPTCH,132584,float64
VAC_SF,132584,float64
VAC_EFF,132584,float64
ANY_CH,142012,float64
CH_RVAC,92099,float64
RELIG,144551,float64
SC_DISRELIG,128517,float64
BLV_SCRELIG,43861,float64
TRUSCI_IDX,131758,float64
TRUSCI_LVL,149014,int64
VW_SC,149014,int64
AGE,149008,float64
AGE_CAT,148295,float64
GEN,149014,int64
EDU,148258,float64
LIV_AR,148701,float64
HHI,146014,float64
RGN,149014,int64
SUBJ_HHI,146039,float64
CTRY_INC,148014,float64
EMP_STAT,149012,float64
