Country,Total,VAC_IMPTCH,VAC_SF,VAC_EFF
Eastern Africa,11621,11357,10121,10319
Central Africa,3437,3296,2452,2878
North Africa,4699,4337,3746,3720
Southern Africa,2396,2271,1904,1900
Western Africa,11693,11132,9283,9782
Central America and Mexico,7571,7427,6539,6639
Northern America,1974,1761,1504,1654
South America,9262,8899,7394,7539
Central Asia,7122,6148,5002,5392
East Asia,6922,5886,4363,5272
Southeast Asia,6698,6324,5733,5749
South Asia,7251,7050,6748,6705
Middle East,10238,9735,8545,8876
Eastern Europe,10291,8150,5563,6711
Northern Europe,8936,7830,5976,7006
Southern Europe,12087,10516,8275,8999
Western Europe,6512,5473,3927,5020
Aus/NZ,1956,1791,1564,1714
