Table_Ref,CollectionYearRange,Child_Age,Unit,Indicator,Value
2,2008-09,24m,%,DTaP_IPV_Hib,93.85415660179210
2,2008-09,24m,%,MenC,91.85010478029400
2,2008-09,24m,%,MMR,84.86855339835040
2,2008-09,24m,%,Hib_MenC,85.35863688994980
2,2008-09,24m,%,PCV,81.46774778599160
2,2008-09,24m,%,MenB_booster,-1.00000000000000
2,2009-10,24m,%,DTaP_IPV_Hib,95.29378548986390
2,2009-10,24m,%,MenC,94.20189420189420
2,2009-10,24m,%,MMR,88.18380975243720
2,2009-10,24m,%,Hib_MenC,90.03105669772340
2,2009-10,24m,%,PCV,87.56750717535030
2,2009-10,24m,%,MenB_booster,-1.00000000000000
2,2010-11,24m,%,DTaP_IPV_Hib,95.97626157061810
2,2010-11,24m,%,MenC,94.77500746491490
2,2010-11,24m,%,MMR,89.12585846521350
2,2010-11,24m,%,Hib_MenC,91.58719020603170
2,2010-11,24m,%,PCV,89.34219169901460
2,2010-11,24m,%,MenB_booster,-1.00000000000000
2,2011-12,24m,%,DTaP_IPV_Hib,96.14239131714320
2,2011-12,24m,%,MenC,94.87619042013440
2,2011-12,24m,%,MMR,91.24827837879200
2,2011-12,24m,%,Hib_MenC,92.34496580301120
2,2011-12,24m,%,PCV,91.48901105369100
2,2011-12,24m,%,MenB_booster,-1.00000000000000
2,2012-13,24m,%,DTaP_IPV_Hib,96.29848269700210
2,2012-13,24m,%,MenC,95.14581976569630
2,2012-13,24m,%,MMR,92.32239751569010
2,2012-13,24m,%,Hib_MenC,92.65904413247140
2,2012-13,24m,%,PCV,92.47367817975860
2,2012-13,24m,%,MenB_booster,-1.00000000000000
2,2013-14,24m,%,DTaP_IPV_Hib,96.13803070535130
2,2013-14,24m,%,MenC,-1.00000000000000
2,2013-14,24m,%,MMR,92.65428664827630
2,2013-14,24m,%,Hib_MenC,92.51191452511080
2,2013-14,24m,%,PCV,92.43879289085660
2,2013-14,24m,%,MenB_booster,-1.00000000000000
2,2014-15,24m,%,DTaP_IPV_Hib,95.74408418740000
2,2014-15,24m,%,MenC,-1.00000000000000
2,2014-15,24m,%,MMR,92.29000130100000
2,2014-15,24m,%,Hib_MenC,92.12680148600000
2,2014-15,24m,%,PCV,92.19488573120000
2,2014-15,24m,%,MenB_booster,-1.00000000000000
2,2015-16,24m,%,DTaP_IPV_Hib,95.24251125039700
2,2015-16,24m,%,MenC,-1.00000000000000
2,2015-16,24m,%,MMR,91.91506347005290
2,2015-16,24m,%,Hib_MenC,91.60390550315600
2,2015-16,24m,%,PCV,91.53492286681450
2,2015-16,24m,%,MenB_booster,-1.00000000000000
2,2016-17,24m,%,DTaP_IPV_Hib,95.14597012858380
2,2016-17,24m,%,MenC,-1.00000000000000
2,2016-17,24m,%,MMR,91.60637891117750
2,2016-17,24m,%,Hib_MenC,91.46066468567580
2,2016-17,24m,%,PCV,91.52208142535010
2,2016-17,24m,%,MenB_booster,-1.00000000000000
2,2017-18,24m,%,DTaP_IPV_Hib,95.10249569617770
2,2017-18,24m,%,MenC,-1.00000000000000
2,2017-18,24m,%,MMR,91.16395889161510
2,2017-18,24m,%,Hib_MenC,91.18017727135430
2,2017-18,24m,%,PCV,91.00370939639360
2,2017-18,24m,%,MenB_booster,-1.00000000000000
2,2018-19,24m,%,DTaP_IPV_Hib,94.16682341630610
2,2018-19,24m,%,MenC,-1.00000000000000
2,2018-19,24m,%,MMR,90.30764729241120
2,2018-19,24m,%,Hib_MenC,90.43035986731520
2,2018-19,24m,%,PCV,90.20926823296880
2,2018-19,24m,%,MenB_booster,87.80069805839450
